IRIS,Population Active,Pop 15-24,Pop 25-54,Pop 55-64,Revenus Q1,Revenus Medians,Revenus Q3
330630604,1952,501,1175,276,19590.0,28790.0,40860.0
330630605,1865,532,1076,257,19220.0,29110.0,44830.0
330630606,1333,312,797,223,22070.0,31880.0,44650.0
330630607,1740,388,1137,215,19530.0,28550.0,40380.0
330630608,1868,477,1070,321,23890.0,33700.0,47440.0
330630609,2087,501,1245,341,21100.0,30330.0,47150.0
330630701,1586,254,1014,318,20710.0,28340.0,39340.0
330630702,2026,451,1235,340,22630.0,33140.0,49130.0
330630703,1672,376,955,340,22470.0,32550.0,44720.0
330630704,1677,299,1012,366,21870.0,29210.0,41510.0
330630705,2757,646,1637,473,21370.0,29910.0,44130.0
330630706,1500,223,938,338,20230.0,28150.0,38050.0
330630801,1612,281,1027,304,20350.0,28200.0,39560.0
330630802,1476,287,902,286,17590.0,24000.0,32830.0
330630803,1678,240,1064,374,18380.0,24320.0,33090.0
330630804,1345,275,814,255,20390.0,27360.0,37730.0
330630805,1978,349,1336,292,18210.0,25180.0,35040.0
330630806,1533,289,961,284,21640.0,28720.0,38060.0
330630807,1420,280,952,187,16350.0,22130.0,30370.0
330630808,1850,310,1186,354,15860.0,22000.0,29780.0
330630809,1966,367,1139,460,21410.0,29530.0,40080.0
330630901,1548,558,798,192,15070.0,19990.0,28210.0
330630902,2686,965,1445,275,14580.0,20950.0,27890.0
330630903,2694,1015,1330,349,20470.0,28750.0,39870.0
330630904,2247,703,1254,290,18880.0,26980.0,36540.0
330630905,1806,447,1063,296,20860.0,28340.0,38820.0
330631001,2671,676,1589,406,18550.0,26390.0,37710.0
330631002,1024,371,550,104,16750.0,24380.0,35790.0
330631003,3017,1135,1586,296,17810.0,25210.0,34180.0
330631004,3549,1379,1887,283,16920.0,25040.0,36180.0
330631005,2386,859,1351,176,16330.0,23730.0,31920.0
330631006,1718,463,974,280,19890.0,28170.0,40110.0
330631101,2154,516,1403,235,11580.0,16620.0,23680.0
330631102,2176,1130,922,123,12990.0,18870.0,29160.0
330631103,2561,1303,1136,121,12270.0,18330.0,26040.0
330631104,2715,930,1602,183,12280.0,18600.0,26500.0
330631105,2049,765,1169,114,12040.0,17650.0,25010.0
330631106,2589,1382,1103,103,11770.0,17640.0,25210.0
330631107,2064,1156,801,107,12930.0,19440.0,30480.0
330631108,2155,945,1055,155,11610.0,17890.0,25220.0
330631201,2027,789,977,260,18230.0,27620.0,40030.0
330631202,1872,738,909,224,21380.0,31150.0,46030.0
330631203,1748,577,956,214,18200.0,26990.0,36230.0
330631204,2354,1071,1104,180,14370.0,21430.0,31350.0
330631205,1758,654,912,192,17160.0,25110.0,35340.0
330631206,1626,322,1060,243,18760.0,26110.0,36610.0
330631207,1840,580,1067,193,14870.0,22090.0,31380.0
330631208,1940,458,1173,308,16690.0,23760.0,30720.0
330631209,2517,1224,1114,179,12720.0,18760.0,27890.0
330631301,2384,565,1531,287,13520.0,18790.0,24870.0
330631302,1860,379,1188,293,18260.0,24750.0,33280.0
330631303,1520,325,1011,184,11620.0,16470.0,22380.0
330631304,2509,769,1484,256,12760.0,17680.0,24370.0
330631305,1671,473,986,213,15380.0,22780.0,31440.0
593500101,33,4,15,15,,,
593500104,2000,767,1053,180,16020.0,26860.0,43200.0
593500105,1997,1217,671,109,16660.0,27690.0,41870.0
593500106,1312,757,467,89,,,
593500107,108,53,50,4,,,
593500108,131,40,88,4,,,
593500109,118,56,58,4,,,
593500110,405,146,254,5,,,
593500111,2239,893,1188,159,14800.0,23300.0,34150.0
593500112,2033,839,1004,190,17910.0,28440.0,42790.0
593500113,1233,344,797,92,14520.0,20530.0,29990.0
593500114,0,0,0,0,,,
593500115,2031,867,1002,162,10960.0,15640.0,24330.0
593500116,2078,721,1230,128,18010.0,26470.0,36450.0
593500117,1227,350,679,198,14150.0,22050.0,31560.0
593500118,3263,1200,1849,214,17160.0,25730.0,36890.0
593500119,3668,1598,1837,233,18660.0,27310.0,39560.0
593500201,2628,539,1943,146,19800.0,27100.0,35990.0
593500202,1427,452,855,120,14020.0,22200.0,34510.0
593500203,2139,834,1158,148,15490.0,24620.0,36040.0
593500204,3337,1207,1863,267,18160.0,27100.0,40080.0
593500205,2648,880,1547,221,20420.0,30050.0,44920.0
593500206,1736,615,923,198,20060.0,28970.0,48870.0
