"Département (Champ géographique)","Code Commune (Champ géographique)","Nom Commune (Champ géographique)","Section (Références cadastrales)","Bâtiment (Identification du local)","N° voirie (Adresse du local)","Indice de répétition (Adresse du local)","Nature voie (Adresse du local)","Nom voie (Adresse du local)","N° MAJIC (Propriétaire(s) du local)","N° SIREN (Propriétaire(s) du local)","Forme juridique (Propriétaire(s) du local)","Forme juridique abrégée (Propriétaire(s) du local)","Dénomination (Propriétaire(s) du local)","Adresse","Adresse_complete"
59,350,"LILLE","C","A",60,"","RUE","JEAN BAPTISTE DUMAS","PBJLPR","U17289337",5499,"SARL","DERROHL","RUE JEAN BAPTISTE DUMAS","60 RUE JEAN BAPTISTE DUMAS"
59,350,"LILLE","C","A",26,"","RUE","JEAN BAPTISTE DUMAS","PBKBX2","841940984",6540,"SCI","2LGN","RUE JEAN BAPTISTE DUMAS","26 RUE JEAN BAPTISTE DUMAS"
59,350,"LILLE","C","A",8,"","RUE","JEAN BAPTISTE DUMAS","PBHRW7","456503556",5699,"SA","HABITAT DU NORD SA D HLM","RUE JEAN BAPTISTE DUMAS","8 RUE JEAN BAPTISTE DUMAS"
59,350,"LILLE","C","A",6,"","RUE","JEAN BAPTISTE DUMAS","PBJVZK","822150553",6540,"SCI","SCI DU 24ZERO9","RUE JEAN BAPTISTE DUMAS","6 RUE JEAN BAPTISTE DUMAS"
59,350,"LILLE","C","A",2,"","RUE","JEAN BAPTISTE DUMAS","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE JEAN BAPTISTE DUMAS","2 RUE JEAN BAPTISTE DUMAS"
59,350,"LILLE","C","A",150,"","RUE","VICTOR HUGO LOMME","PBCQ7D","498340199",6540,"SCI","DE LA MYRTHE","RUE VICTOR HUGO LOMME","150 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",148,"","RUE","VICTOR HUGO LOMME","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE VICTOR HUGO LOMME","148 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",138,"","RUE","VICTOR HUGO LOMME","PBCVVK","413782509",4140,"EPIC","LILLE METROPOLE HABITAT OPH DE LA METROPOLE EUROPEENNE DE LI","RUE VICTOR HUGO LOMME","138 RUE VICTOR HUGO LOMME"
59,350,"LILLE","C","A",7,"","RUE","V HUGO CTE J D ARC LOMME","PBHRWS","529646788",6540,"SCI","JOMNI","RUE V HUGO CTE J D ARC LOMME","7 RUE V HUGO CTE J D ARC LOMME"
59,350,"LILLE","C","A",1,"B","RUE","DU DOC LEPAN","PBCLNF","478866304",6540,"SCI","SCI CENA","RUE DU DOC LEPAN","1 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",1,"","RUE","DU DOC LEPAN","PBCLNF","478866304",6540,"SCI","SCI CENA","RUE DU DOC LEPAN","1 RUE DU DOC LEPAN"
59,350,"LILLE","C","PK",1,"","RUE","DU DOC LEPAN","PBCLNF","478866304",6540,"SCI","SCI CENA","RUE DU DOC LEPAN","1 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",13,"","RUE","DU DOC LEPAN","PBJ22X","825362247",6540,"SCI","PVMI","RUE DU DOC LEPAN","13 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",38,"","RUE","DU DOC LEPAN","PBBZ5T","886980440",5546,"SA","LOGIS METROPOLE","RUE DU DOC LEPAN","38 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",28,"","RUE","DU DOC LEPAN","PBDF9Q","439676156",6540,"SCI","LE PIGEON BLEU","RUE DU DOC LEPAN","28 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",24,"","RUE","DU DOC LEPAN","PBH842","475680815",5699,"SA","VILOGIA SOCIETE ANONYME DHLM","RUE DU DOC LEPAN","24 RUE DU DOC LEPAN"
59,350,"LILLE","C","A",96,"","RUE","VICTOR HUGO LOMME","PBCCPV","U21072642",6540,"SCI","VICTOR HUGO","RUE VICTOR HUGO LOMME","96 RUE VICTOR HUGO LOMME"
