nom,validations
SAINT OUEN L AUMONE LIESSE,1340.0
SAINT OUEN L AUMONE QUARTIER DE L EGLISE,336.0
SAINT PAUL,11604.0
SAINT PHILIPPE DU ROULE,6224.0
SAINT PLACIDE,7020.0
SAINT QUENTIN EN YVELINES,12238.0
SAINT SEBASTIEN FROISSART,2905.0
SAINT SULPICE,4469.0
SAINTE COLOMBE SEPTVEILLES,90.0
SAINTE GENEVIEVE DES BOIS,3684.0
SANNOIS,2861.0
SANTEUIL LE PERCHAY,33.0
SARCELLES SAINT BRICE,1275.0
SARTROUVILLE,11098.0
SAVIGNY LE TEMPLE NANDY,3872.0
SAVIGNY SUR ORGE,6425.0
SEGUR,3560.0
SENTIER,6855.0
SERMAISE,86.0
SEUGY,48.0
SEVRAN BEAUDOTTES,9248.0
SEVRAN LIVRY,4424.0
SEVRES RIVE GAUCHE,832.0
SEVRES BABYLONE,8949.0
SEVRES LECOURBE,3838.0
SEVRES VILLE D AVRAY,1519.0
SIMPLON,5489.0
SOLFERINO,3734.0
SOUPPES,463.0
STADE DE FRANCE SAINT DENIS,8689.0
STAINS CERISAIE,1661.0
STALINGRAD,14304.0
STRASBOURG SAINT DENIS,17885.0
SULLY MORLAND,3136.0
SURESNES MONT VALERIEN,2551.0
SURVILLIERS FOSSES,1603.0
TACOIGNIERES RICHEBOURG,167.0
TAVERNY,992.0
TELEGRAPHE,4080.0
TEMPLE,2251.0
TERNES,6320.0
THIEUX NANTOUILLET,20.0
THOMERY,59.0
THUN LE PARADIS,300.0
TOLBIAC,7169.0
TOURNAN,1351.0
TRAPPES,4128.0
TRIEL SUR SEINE,466.0
TRILPORT,654.0
TRINITE D ESTIENNE D ORVES,4303.0
TROCADERO,13575.0
TUILERIES,4659.0
US,65.0
VAIRES TORCY,2305.0
VAL D ARGENTEUIL,4961.0
VALMONDOIS,309.0
VANEAU,2077.0
VANVES MALAKOFF,1410.0
VARENNE,2314.0
VAUBOYEN,136.0
VAUCELLES,371.0
VAUCRESSON,1199.0
VAUGIRARD,6949.0
VAUX SUR SEINE,266.0
VAVIN,3999.0
VERNEUIL L ETANG,476.0
VERNOU SUR SEINE,37.0
VERNOUILLET VERNEUIL,2123.0
VERSAILLES CHATEAU,3573.0
VERSAILLES RIVE DROITE,4292.0
VERSAILLES CHANTIERS,13229.0
VERT GALANT,5546.0
VIARMES,210.0
VICTOR HUGO,7825.0
VIGNEUX SUR SEINE,5333.0
VILLABE,130.0
VILLAINES,65.0
VILLEJUIF LEO LAGRANGE,6420.0
VILLEJUIF LOUIS ARAGON,16420.0
VILLEJUIF PAUL VAILLANT COUTURIER,5581.0
VILLENEUVE LE ROI,1362.0
VILLENEUVE SAINT GEORGES,11093.0
VILLENEUVE TRIAGE,569.0
VILLENNES SUR SEINE,362.0
VILLEPARISIS MITRY LE NEUF,4076.0
VILLEPINTE,2230.0
VILLEPREUX LES CLAYES,1878.0
VILLETANEUSE U,2214.0
VILLIERS,11100.0
VILLIERS LE BEL GONESSE ARNOUVILLE,8046.0
VILLIERS MONTBARBIN,46.0
VILLIERS NEAUPHLE PONTCHARTRAIN,646.0
VILLIERS SUR MARNE PLESSIS TREVISE,8340.0
VIROFLAY RIVE DROITE,1848.0
VIROFLAY RIVE GAUCHE,3786.0
VIRY CHATILLON,879.0
VITRY SUR SEINE,4622.0
VOLONTAIRES,5381.0
VOLTAIRE,9584.0
VOSVES,24.0
VULAINES SUR SEINE SAMOREAU,44.0
WAGRAM,4595.0
YERRES,3700.0
