X,Y,osm_id,type,name,brand,address,Code Postal,search_address,cat_mag,Supermarket
-0.5722779,44.8209464004843,node/2523117911,association,Emmaüs,,256BIS COURS DE LA SOMME,33800,COURS DE LA SOMME,0,0
-0.572522,44.836709800483,node/7243008385,clothes,Docks Caviar,,18 RUE RAVEZ,33000,RUE RAVEZ,0,0
-0.5774359,44.8455245004822,node/8131635238,optician,Grandir à vue d'oeil,,8 COURS DE VERDUN,33000,COURS DE VERDUN,0,0
-0.6180172,44.8629161004807,node/3761961376,supermarket,Proxi Super,Proxi,226 AVENUE D EYSINES,33000,AVENUE D EYSINES,0,0
-0.5828859,44.8415750004826,node/7280572285,butcher,La Maison des délices,,37 RUE JUDAIQUE,33000,RUE JUDAIQUE,0,0
-0.6034407,44.8400016004827,node/4158797391,dry_cleaning,Pressing Éclair,,75 AVENUE DE LA REPUBLIQUE,33000,AVENUE DE LA REPUBLIQUE,0,0
-0.571119,44.8308391004835,node/7041809995,restaurant,Resto Chilien,,15 RUE ELIE GINTRAC,33000,RUE ELIE GINTRAC,0,0
-0.5773149,44.8457061004822,node/8138340277,estate_agent,Bordeaux Montaigne,,12 COURS DE VERDUN,33000,COURS DE VERDUN,0,0
-0.5763735,44.8437626004824,node/8407657642,estate_agent,LP Promotion,,28 ALLEE DE TOURNY,33000,ALLEE DE TOURNY,0,0
-0.5718692,44.8307663004835,node/625017820,pub,Saint-Aubin,,6 PLACE DE LA VICTOIRE,33000,PLACE DE LA VICTOIRE,0,0
-0.571019,44.8565325004813,node/7098325285,estate_agent,Laforêt,Laforêt,31 COURS SAINT LOUIS,33300,COURS SAINT LOUIS,0,0
-0.579039,44.8437338004824,node/8407657630,estate_agent,Cabinet Bedin,,41 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
-0.5708629,44.848838400482,node/446355810,restaurant,Le K Baroque,,1 QUAI DES CHARTRONS,33000,QUAI DES CHARTRONS,0,0
-0.5734128,44.8407917004826,node/6966709369,bar,Calle Ocho - Café Cubano,,24 RUE DES PILIERS DE TUTELLE,33000,RUE DES PILIERS DE TUTELLE,0,0
-0.5667507,44.8537980004815,node/443144697,pub,Molly Malone's,,83 QUAI DES CHARTRONS,33000,QUAI DES CHARTRONS,0,0
-0.5747005,44.8399684004827,node/7954673474,sports,UBB Store,,2 IMPASSE SAINTE CATHERINE,33000,IMPASSE SAINTE CATHERINE,0,0
-0.5779442,44.8413643004826,node/3710349163,beverages,Comptoir Irlandais,,10 RUE DU TEMPLE,33000,RUE DU TEMPLE,0,0
-0.5940993,44.8217403004843,node/2812049309,butcher,F. Gueydon,,127 COURS DU MARECHAL GALLIENI,33000,COURS DU MARECHAL GALLIENI,0,0
-0.562994856180914,44.8844250119982,way/895849008,car_wash,,,25 RUE CARDINAL RICHAUD,33300,RUE CARDINAL RICHAUD,0,0
-0.5758392,44.836927800483,node/5370099435,beauty,Beauté d'Alma,,10 RUE DUFFOUR DUBERGIER,33000,RUE DUFFOUR DUBERGIER,0,0
-0.555931661059524,44.837646754076,way/77935846,employment_agency,Pôle emploi de Bordeaux-Bastide,,2BIS RUE RENE BUTHAUD,33100,RUE RENE BUTHAUD,0,0
-0.5822592,44.8416208004826,node/8097273266,coffee,La Grange aux Cafés,,23 RUE JUDAIQUE,33000,RUE JUDAIQUE,0,0
-0.5686071,44.8298477004836,node/5088342823,fast_food,CFC,,69 COURS DE LA MARNE,33800,COURS DE LA MARNE,0,0
-0.5708363,44.8397425004827,node/7041701303,restaurant,Saveur Latine,,3 PLACE SAINT PIERRE,33000,PLACE SAINT PIERRE,0,0
-0.5730011,44.8411818004826,node/4961403682,restaurant,La Brasserie Bordelaise,,50 RUE SAINT REMI,33000,RUE SAINT REMI,0,0
-0.5592846,44.8572422004812,node/6027840886,clothes,Boss,,27 QUAI DE BACALAN,33300,QUAI DE BACALAN,0,0
-0.5762732,44.8418765004825,node/7781748143,clothes,Massimo Dutti,Massimo Dutti,18 COURS DE L INTENDANCE,33000,COURS DE L INTENDANCE,1,0
-0.5754728,44.8473979004821,node/7257856590,cafe,Le Foch,,27 COURS DU MARECHAL FOCH,33000,COURS DU MARECHAL FOCH,0,0
-0.5592419,44.8409097004826,node/6855577731,insurance,,Ociane,2 AVENUE THIERS,33100,AVENUE THIERS,0,0
-0.5940047,44.8326522004833,node/4856376537,fast_food,L'Atelier Toqué,,230 RUE D ORNANO,33000,RUE D ORNANO,0,0
-0.5695497,44.8545999004814,node/4465829064,bar,So Wines,,43 RUE BORIE,33300,RUE BORIE,0,0
-0.5684589,44.8291283004836,node/1752258898,fast_food,Grand Délice,,19 COURS DE L YSER,33800,COURS DE L YSER,0,0
-0.5760225,44.8171120004847,node/5732653401,convenience,Vival,Vival,177 RUE BERTRAND DE GOTH,33800,RUE BERTRAND DE GOTH,0,0
-0.5662765,44.8791531004793,node/7105164838,books,Fnac Bordeaux Lac,Fnac,2 RUE JEAN ROYER,33300,RUE JEAN ROYER,0,0
-0.5818438,44.8411671004826,node/6444861309,fast_food,Kenchic,,8 RUE CASTELNAU D AUROS,33000,RUE CASTELNAU D AUROS,0,0
-0.5808558,44.836883000483,node/7012154885,cafe,Les taquineries de Marie,,48 COURS D ALBRET,33000,COURS D ALBRET,0,0
-0.571184,44.8346303004832,node/4023650962,tobacco,,,6 RUE DU MIRAIL,33000,RUE DU MIRAIL,0,0
-0.5767771,44.8440673004824,node/628594923,pharmacy,Pharmacie Tourny,,36 ALLEE DE TOURNY,33000,ALLEE DE TOURNY,0,0
-0.5823486,44.836361500483,node/4634809333,employment_agency,Randstad,Randstad,6 RUE DE BELFORT,33000,RUE DE BELFORT,0,0
-0.5715318,44.8325107004834,node/7264640785,restaurant,Chez Pierangelo,,9 RUE DES AUGUSTINS,33000,RUE DES AUGUSTINS,0,0
-0.5779548,44.8446685004823,node/8138340297,copyshop,Sprint Copie,,82 COURS GEORGES CLEMENCEAU,33000,COURS GEORGES CLEMENCEAU,0,0
-0.5575293,44.8586871004811,node/4905458829,fast_food,Kalisté,,47 QUAI DE BACALAN,33300,QUAI DE BACALAN,0,0
-0.5723421,44.8425163004825,node/5525389883,bicycle,Cyclable;Cyvea - Réseau Cyclable,,19 COURS DU CHAPEAU ROUGE,33000,COURS DU CHAPEAU ROUGE,0,0
